hr-agvva.jpg	-	102915	1	0	0	0
hr-agvva.nfo	-	20150	1	102915	0	1
hr-agvva.r00	-	200000000	1	123065	0	2
hr-agvva.r01	-	200000000	1	200123065	0	193
hr-agvva.r02	-	200000000	1	400123065	0	384
hr-agvva.r03	-	200000000	1	62636544	1	60
hr-agvva.r04	-	200000000	1	262636544	1	251
hr-agvva.r05	-	200000000	1	462636544	1	442
hr-agvva.r06	-	200000000	1	125551104	2	120
hr-agvva.r07	-	200000000	1	325551104	2	311
hr-agvva.r08	-	200000000	1	525551104	2	502
hr-agvva.r09	-	200000000	1	188465664	3	180
hr-agvva.r10	-	200000000	1	388465664	3	371
hr-agvva.r11	-	200000000	1	51102208	4	49
hr-agvva.r12	-	200000000	1	251102208	4	240
hr-agvva.r13	-	200000000	1	451102208	4	431
hr-agvva.r14	-	200000000	1	114016768	5	109
hr-agvva.r15	-	200000000	1	314016768	5	300
hr-agvva.r16	-	200000000	1	514016768	5	491
hr-agvva.r17	-	200000000	1	176931328	6	169
hr-agvva.r18	-	200000000	1	376931328	6	360
hr-agvva.r19	-	200000000	1	39567872	7	38
hr-agvva.r20	-	200000000	1	239567872	7	229
hr-agvva.r21	-	200000000	1	439567872	7	420
hr-agvva.r22	-	200000000	1	102482432	8	98
hr-agvva.r23	-	200000000	1	302482432	8	289
hr-agvva.r24	-	200000000	1	502482432	8	480
hr-agvva.r25	-	200000000	1	165396992	9	158
hr-agvva.r26	-	200000000	1	365396992	9	349
hr-agvva.r27	-	200000000	1	28033536	10	27
hr-agvva.r28	-	200000000	1	228033536	10	218
hr-agvva.r29	-	200000000	1	428033536	10	409
hr-agvva.r30	-	200000000	1	90948096	11	87
hr-agvva.r31	-	200000000	1	290948096	11	278
hr-agvva.r32	-	200000000	1	490948096	11	469
hr-agvva.r33	-	200000000	1	153862656	12	147
hr-agvva.r34	-	200000000	1	353862656	12	338
hr-agvva.r35	-	200000000	1	16499200	13	16
hr-agvva.r36	-	200000000	1	216499200	13	207
hr-agvva.r37	-	200000000	1	416499200	13	398
hr-agvva.r38	-	200000000	1	79413760	14	76
hr-agvva.r39	-	200000000	1	279413760	14	267
hr-agvva.r40	-	200000000	1	479413760	14	458
hr-agvva.r41	-	200000000	1	142328320	15	136
hr-agvva.r42	-	200000000	1	342328320	15	327
hr-agvva.r43	-	200000000	1	4964864	16	5
hr-agvva.r44	-	200000000	1	204964864	16	196
hr-agvva.r45	-	200000000	1	404964864	16	387
hr-agvva.r46	-	200000000	1	67879424	17	65
hr-agvva.r47	-	200000000	1	267879424	17	256
hr-agvva.r48	-	200000000	1	467879424	17	447
hr-agvva.r49	-	200000000	1	130793984	18	125
hr-agvva.r50	-	200000000	1	330793984	18	316
hr-agvva.r51	-	200000000	1	530793984	18	507
hr-agvva.r52	-	200000000	1	193708544	19	185
hr-agvva.r53	-	200000000	1	393708544	19	376
hr-agvva.r54	-	200000000	1	56345088	20	54
hr-agvva.r55	-	200000000	1	256345088	20	245
hr-agvva.r56	-	200000000	1	456345088	20	436
hr-agvva.r57	-	200000000	1	119259648	21	114
hr-agvva.r58	-	200000000	1	319259648	21	305
hr-agvva.r59	-	200000000	1	519259648	21	496
hr-agvva.r60	-	200000000	1	182174208	22	174
hr-agvva.r61	-	200000000	1	382174208	22	365
hr-agvva.r62	-	200000000	1	44810752	23	43
hr-agvva.r63	-	200000000	1	244810752	23	234
hr-agvva.r64	-	200000000	1	444810752	23	425
hr-agvva.r65	-	200000000	1	107725312	24	103
hr-agvva.r66	-	200000000	1	307725312	24	294
hr-agvva.r67	-	200000000	1	507725312	24	485
hr-agvva.r68	-	200000000	1	170639872	25	163
hr-agvva.r69	-	200000000	1	370639872	25	354
hr-agvva.r70	-	200000000	1	33276416	26	32
hr-agvva.r71	-	143106204	1	233276416	26	223
hr-agvva.rar	-	200000000	1	376382620	26	360
hr-agvva.sfv	-	1679	1	38519296	27	37
