sxs-skatebird_v458752.nfo	aaf42b48
sxs-skatebird_v458752.r00	7f5d7155
sxs-skatebird_v458752.r01	c9aa67e7
sxs-skatebird_v458752.r02	bd22353b
sxs-skatebird_v458752.r03	3cc0384e
sxs-skatebird_v458752.r04	12958ba1
sxs-skatebird_v458752.r05	d7f5e63f
sxs-skatebird_v458752.r06	f71cd00e
sxs-skatebird_v458752.r07	4f7dff1c
sxs-skatebird_v458752.r08	30e5f82b
sxs-skatebird_v458752.r09	c8c5e693
sxs-skatebird_v458752.r10	ce69532c
sxs-skatebird_v458752.r11	1b1cfec1
sxs-skatebird_v458752.r12	e5ce3e73
sxs-skatebird_v458752.r13	cde9e520
sxs-skatebird_v458752.r14	d95c5fc7
sxs-skatebird_v458752.rar	b6efb190
sxs-skatebird_v458752.sfv	986c6947
